symbol,ltp,bid_price,ask_price,volume,open,high,low,previous_close,change,change_percent,average_traded_price,ltq,atp,bid_quantity,ask_quantity,total_bid_quantity,total_ask_quantity,liquidity_pass,volume_liquidity_pass,depth_ltp,depth_volume,depth_atp,spread_percent,depth_available,spread_pass
NSE:ABCAPITAL-EQ,410.95,0.0,410.95,2350295,407.15,410.95,403.05,407.15,3.8,0.93,405.28,214.0,405.28,0.0,3719.0,0.0,3719.0,False,True,,,,,,
NSE:ABFRL-EQ,57.16,57.16,0.0,5139419,58.8,59.1,57.02,58.63,-1.47,-2.51,57.77,996.0,57.77,4824.0,0.0,4824.0,0.0,False,True,,,,,,
NSE:ADANIPOWER-EQ,206.99,206.99,0.0,13943707,209.0,209.69,205.02,209.0,-2.01,-0.96,206.64,1.0,206.64,18153.0,0.0,18153.0,0.0,False,True,,,,,,
NSE:AEQUS-EQ,236.76,0.0,236.76,1480520,241.0,241.0,233.01,240.73,-3.97,-1.65,236.68,54.0,236.68,0.0,36.0,0.0,36.0,False,True,,,,,,
NSE:AEROENTER-EQ,129.29,0.0,129.29,1019988,135.0,135.0,126.0,129.41,-0.12,-0.09,131.01,939.0,131.01,0.0,6611.0,0.0,6611.0,False,True,,,,,,
NSE:AEROFLEX-EQ,446.55,0.0,446.55,1802936,426.4,450.0,423.0,422.65,23.9,5.65,442.65,500.0,442.65,0.0,2692.0,0.0,2692.0,False,True,,,,,,
NSE:AFCONS-EQ,267.95,267.95,0.0,5079574,265.0,279.3,264.4,263.65,4.3,1.63,272.53,25.0,272.53,10298.0,0.0,10298.0,0.0,False,True,,,,,,
NSE:AGIIL-EQ,300.6,300.6,0.0,1184916,301.8,304.0,296.7,300.15,0.45,0.15,301.59,425.0,301.59,1904.0,0.0,1904.0,0.0,False,True,,,,,,
NSE:ALPHA-EQ,54.4,54.4,0.0,1008904,53.79,54.5,53.79,53.8,0.6,1.12,54.31,10.0,54.31,14.0,0.0,14.0,0.0,False,True,,,,,,
NSE:AMBUJACEM-EQ,421.0,421.0,0.0,5400539,426.7,426.7,418.05,424.0,-3.0,-0.71,420.78,1.0,420.78,2792.0,0.0,2792.0,0.0,False,True,,,,,,
NSE:ANGELONE-EQ,291.0,0.0,291.0,4505655,290.75,291.0,285.25,291.4,-0.4,-0.14,287.3,5.0,287.3,0.0,4736.0,0.0,4736.0,False,True,,,,,,
NSE:APOLLO-EQ,379.85,0.0,379.85,3532851,389.7,391.0,378.0,388.7,-8.85,-2.28,383.51,5.0,383.51,0.0,8154.0,0.0,8154.0,False,True,,,,,,
